,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,country,Lat,Lon,Type
101,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,argentina,-38.416097,-63.616672,tones
151,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,australia,-25.274398,133.775136,tones
201,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,belgium,50.503887,4.469936,tones
251,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,bolivia,-16.290154,-63.588653,tones
301,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,brazil,-14.235004,-51.92528,tones
351,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,canada,56.130366,-106.346771,tones
401,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,germany,51.165691,10.451526,tones
451,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,colombia,4.570868,-74.297333,tones
501,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,chile,-35.675147,-71.542969,tones
551,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,spain,40.463667,-3.74922,tones
601,ROXANNE,Arizona Zervas,pop rap,2019,12/31/1969,117,60,62,-6,46,46,164,5,15,99,usa,37.09024,-95.712891,arizona
651,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,france,46.227638,2.213749,tones
701,Memories,Maroon 5,pop,2019,12/31/1969,91,32,76,-7,8,57,189,84,5,99,india,20.593684,78.96288,maroon
751,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,indonesia,-0.789275,113.921327,tones
801,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,israel,31.046051,34.851612,tones
851,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,italy,41.87194,12.56738,tones
901,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,12/31/1969,150,63,34,-7,7,35,241,16,4,98,japan,36.204824,138.252924,mariah
951,Dance Monkey,Tones and I,australian pop,2019,12/31/1969,98,59,82,-6,15,51,209,69,9,100,malasya,4.210484,101.975766,tones
